functionType,MatrixSize,Real Time
Normal Mult,600,0.151480117
Normal Mult,600,0.144436749
Normal Mult,600,0.157584639
Normal Mult,600,0.147154837
Normal Mult,600,0.152716496
Normal Mult,600,0.143584819
Normal Mult,600,0.145434724
Normal Mult,600,0.141355304
Normal Mult,600,0.139042083
Normal Mult,600,0.141134341
Normal Mult,600,0.144444204
Normal Mult,600,0.151108783
Normal Mult,600,0.142963067
Normal Mult,600,0.143761598
Normal Mult,600,0.139877534
Normal Mult,600,0.158664887
Normal Mult,600,0.164558356
Normal Mult,600,0.151072234
Normal Mult,600,0.149553378
Normal Mult,600,0.148760386
Normal Mult,600,0.147637348
Normal Mult,600,0.150484437
Normal Mult,600,0.140366486
Normal Mult,600,0.140554959
Normal Mult,600,0.140126578
Normal Mult,600,0.140675133
Normal Mult,600,0.141778164
Normal Mult,600,0.141215563
Normal Mult,600,0.140494045
Normal Mult,600,0.142083083
Normal Mult,600,0.139489008
Normal Mult,1000,0.646434223
Normal Mult,1000,0.649590378
Normal Mult,1000,0.648774184
Normal Mult,1000,0.645470652
Normal Mult,1000,0.648166238
Normal Mult,1000,0.651672788
Normal Mult,1000,0.646942893
Normal Mult,1000,0.673437453
Normal Mult,1000,0.647801226
Normal Mult,1000,0.646441577
Normal Mult,1000,0.660397045
Normal Mult,1000,0.804996288
Normal Mult,1000,0.916608724
Normal Mult,1000,0.771725641
Normal Mult,1000,0.670251563
Normal Mult,1000,0.666631951
Normal Mult,1000,0.681813239
Normal Mult,1000,0.680991724
Normal Mult,1000,0.832924326
Normal Mult,1000,0.729323095
Normal Mult,1000,0.776587572
Normal Mult,1000,0.818562379
Normal Mult,1000,0.76860441
Normal Mult,1000,0.856459628
Normal Mult,1000,0.816430897
Normal Mult,1000,0.756218324
Normal Mult,1000,0.75989424
Normal Mult,1000,0.797346148
Normal Mult,1000,0.726564772
Normal Mult,1000,0.725642048
Normal Mult,1000,0.785852569
Normal Mult,1400,3.540583711
Normal Mult,1400,3.597128293
Normal Mult,1400,3.682932201
Normal Mult,1400,3.577655098
Normal Mult,1400,3.558118646
Normal Mult,1400,3.710811317
Normal Mult,1400,3.623359051
Normal Mult,1400,3.719390822
Normal Mult,1400,3.647626972
Normal Mult,1400,3.616944508
Normal Mult,1400,3.616890521
Normal Mult,1400,3.652252873
Normal Mult,1400,3.557624122
Normal Mult,1400,3.739368881
Normal Mult,1400,3.654052023
Normal Mult,1400,3.579137768
Normal Mult,1400,3.668203959
Normal Mult,1400,3.597812591
Normal Mult,1400,3.70111811
Normal Mult,1400,3.732563147
Normal Mult,1400,3.554909691
Normal Mult,1400,3.572240383
Normal Mult,1400,3.577729376
Normal Mult,1400,3.542737663
Normal Mult,1400,3.668464003
Normal Mult,1400,3.764857821
Normal Mult,1400,3.548649987
Normal Mult,1400,3.662108842
Normal Mult,1400,3.611197804
Normal Mult,1400,3.559140714
Normal Mult,1400,3.645056219
Normal Mult,1800,8.246074009
Normal Mult,1800,8.088568418
Normal Mult,1800,8.071273732
Normal Mult,1800,8.127060408
Normal Mult,1800,7.76321759
Normal Mult,1800,8.047013255
Normal Mult,1800,8.167652998
Normal Mult,1800,7.964652118
Normal Mult,1800,7.997104337
Normal Mult,1800,8.261509941
Normal Mult,1800,8.031913648
Normal Mult,1800,8.02794789
Normal Mult,1800,8.188747205
Normal Mult,1800,8.033584239
Normal Mult,1800,8.216414705
Normal Mult,1800,8.041155201
Normal Mult,1800,8.004092018
Normal Mult,1800,8.155031254
Normal Mult,1800,8.179362553
Normal Mult,1800,7.934513489
Normal Mult,1800,8.07466335
Normal Mult,1800,8.069542352
Normal Mult,1800,7.979508796
