functionType,L2 DCM,L1 DCM,MatrixSize,BlockSize,NumThreads,Real Time
Normal Mult,6413194,245791979,600,-1,-1,0.140401
Normal Mult,1280971,245705689,600,-1,-1,0.130285
Normal Mult,4409206,245764676,600,-1,-1,0.133696
Normal Mult,539599,245662208,600,-1,-1,0.130848
Normal Mult,4056568,245724496,600,-1,-1,0.135272
Normal Mult,1777917,245742166,600,-1,-1,0.13263
Normal Mult,560545,245668666,600,-1,-1,0.134331
Normal Mult,537813,245665169,600,-1,-1,0.130763
Normal Mult,540797,245634731,600,-1,-1,0.128691
Normal Mult,7552841,245888439,600,-1,-1,0.136959
Normal Mult,545113,245679332,600,-1,-1,0.133812
Normal Mult,562850,245665615,600,-1,-1,0.130266
Normal Mult,3428999,245808512,600,-1,-1,0.140706
Normal Mult,3282003,245809504,600,-1,-1,0.137993
Normal Mult,539210,245665359,600,-1,-1,0.13256
Normal Mult,550169,245675716,600,-1,-1,0.130686
Normal Mult,543360,245648455,600,-1,-1,0.130924
Normal Mult,565983,245669499,600,-1,-1,0.133702
Normal Mult,538478,245554040,600,-1,-1,0.132156
Normal Mult,555625,245638103,600,-1,-1,0.132071
Normal Mult,3174707,245747714,600,-1,-1,0.138388
Normal Mult,563225,245626088,600,-1,-1,0.134886
Normal Mult,552175,245670214,600,-1,-1,0.130128
Normal Mult,540501,245670420,600,-1,-1,0.127641
Normal Mult,596515,245670256,600,-1,-1,0.135359
Normal Mult,542169,245657878,600,-1,-1,0.134607
Normal Mult,540285,245599148,600,-1,-1,0.132015
Normal Mult,5158520,245777350,600,-1,-1,0.135243
Normal Mult,1464694,245701660,600,-1,-1,0.135566
Normal Mult,530170,245642403,600,-1,-1,0.131075
Normal Mult,4912138,1136146183,1000,-1,-1,0.626719
Normal Mult,3720767,1136342380,1000,-1,-1,0.619456
Normal Mult,4178332,1136330156,1000,-1,-1,0.616427
Normal Mult,12714816,1136166342,1000,-1,-1,0.734145
Normal Mult,48704808,1137471045,1000,-1,-1,0.786376
Normal Mult,38222279,1137140462,1000,-1,-1,0.739178
Normal Mult,30979678,1136994328,1000,-1,-1,0.681548
Normal Mult,26339582,1136921530,1000,-1,-1,0.669849
Normal Mult,35799541,1137069183,1000,-1,-1,0.673041
Normal Mult,14472752,1136555117,1000,-1,-1,0.622445
Normal Mult,18240955,1136706853,1000,-1,-1,0.669763
Normal Mult,6550663,1136380021,1000,-1,-1,0.629892
Normal Mult,11742658,1136478832,1000,-1,-1,0.653434
Normal Mult,38068103,1137152217,1000,-1,-1,0.662212
Normal Mult,29410177,1136925637,1000,-1,-1,0.666592
Normal Mult,33408703,1137079689,1000,-1,-1,0.657509
Normal Mult,38600797,1137145105,1000,-1,-1,0.685988
Normal Mult,39769581,1137155522,1000,-1,-1,0.682173
Normal Mult,36172927,1137067653,1000,-1,-1,0.670959
Normal Mult,47341367,1137317277,1000,-1,-1,0.707446
Normal Mult,25893770,1136931737,1000,-1,-1,0.730287
Normal Mult,27347757,1136928157,1000,-1,-1,0.700787
Normal Mult,63628722,1137690434,1000,-1,-1,0.72575
Normal Mult,63632376,1137628658,1000,-1,-1,0.729402
Normal Mult,11158165,1136479742,1000,-1,-1,0.629707
Normal Mult,3403669,1136339213,1000,-1,-1,0.610967
Normal Mult,11504450,1136519950,1000,-1,-1,0.633353
