functionType,MatrixSize,Real Time
Normal Mult,600,0.148421
Normal Mult,600,0.139918
Normal Mult,600,0.149302
Normal Mult,600,0.143317
Normal Mult,600,0.150298
Normal Mult,600,0.145975
Normal Mult,600,0.154595
Normal Mult,600,0.152687
Normal Mult,600,0.158318
Normal Mult,600,0.149344
Normal Mult,600,0.146794
Normal Mult,600,0.156671
Normal Mult,600,0.144579
Normal Mult,600,0.146657
Normal Mult,600,0.164379
Normal Mult,600,0.164442
Normal Mult,600,0.159754
Normal Mult,600,0.145606
Normal Mult,600,0.145171
Normal Mult,600,0.138543
Normal Mult,600,0.139449
Normal Mult,600,0.160280
Normal Mult,600,0.161170
Normal Mult,600,0.140388
Normal Mult,600,0.139486
Normal Mult,600,0.140917
Normal Mult,600,0.150522
Normal Mult,600,0.167165
Normal Mult,600,0.148124
Normal Mult,600,0.146718
Normal Mult,600,Average,0.149966

Normal Mult,1000,0.828109
Normal Mult,1000,0.698602
Normal Mult,1000,0.755317
Normal Mult,1000,0.790567
Normal Mult,1000,0.688973
Normal Mult,1000,0.632390
Normal Mult,1000,0.674422
Normal Mult,1000,0.846059
Normal Mult,1000,0.834860
Normal Mult,1000,0.741100
Normal Mult,1000,0.662610
Normal Mult,1000,0.665140
Normal Mult,1000,0.651151
Normal Mult,1000,0.657134
Normal Mult,1000,0.646751
Normal Mult,1000,0.655286
Normal Mult,1000,0.648413
Normal Mult,1000,0.650820
Normal Mult,1000,0.651516
Normal Mult,1000,0.645980
Normal Mult,1000,0.651367
Normal Mult,1000,0.650067
Normal Mult,1000,0.649567
Normal Mult,1000,0.649240
Normal Mult,1000,0.648943
Normal Mult,1000,0.652757
Normal Mult,1000,0.760508
Normal Mult,1000,0.776024
Normal Mult,1000,0.742601
Normal Mult,1000,0.679665
Normal Mult,1000,Average,0.696198

Normal Mult,1400,3.078013
Normal Mult,1400,3.400045
Normal Mult,1400,3.066139
Normal Mult,1400,3.158529
Normal Mult,1400,3.151935
Normal Mult,1400,2.942578
Normal Mult,1400,2.781978
Normal Mult,1400,2.798984
Normal Mult,1400,3.221205
Normal Mult,1400,3.087484
Normal Mult,1400,3.048602
Normal Mult,1400,3.062246
Normal Mult,1400,3.479399
Normal Mult,1400,2.784697
Normal Mult,1400,2.791123
Normal Mult,1400,2.788233
Normal Mult,1400,2.808039
Normal Mult,1400,2.804568
Normal Mult,1400,2.791446
Normal Mult,1400,2.812084
Normal Mult,1400,2.789856
Normal Mult,1400,2.784930
Normal Mult,1400,2.794769
Normal Mult,1400,2.793702
Normal Mult,1400,2.782148
Normal Mult,1400,2.786388
Normal Mult,1400,2.793943
Normal Mult,1400,2.792157
Normal Mult,1400,2.784835
Normal Mult,1400,2.788327
Normal Mult,1400,Average,2.924946

Normal Mult,1800,6.085808
Normal Mult,1800,6.128146
Normal Mult,1800,6.106680
Normal Mult,1800,6.119124
Normal Mult,1800,6.109305
Normal Mult,1800,6.119121
Normal Mult,1800,6.128071
Normal Mult,1800,6.106489
Normal Mult,1800,6.120545
Normal Mult,1800,6.120946
Normal Mult,1800,6.109132
Normal Mult,1800,6.108514
Normal Mult,1800,6.115606
Normal Mult,1800,6.124124
Normal Mult,1800,6.114771
Normal Mult,1800,6.117948
Normal Mult,1800,6.131307
Normal Mult,1800,6.125805
Normal Mult,1800,6.119285
Normal Mult,1800,7.087850
Normal Mult,1800,6.957494
Normal Mult,1800,7.152044
Normal Mult,1800,6.963667
Normal Mult,1800,6.833075
Normal Mult,1800,6.147528
Normal Mult,1800,6.139322
Normal Mult,1800,6.144898
Normal Mult,1800,6.141570
Normal Mult,1800,6.159337
Normal Mult,1800,6.163431
Normal Mult,1800,Average,6.270031

Normal Mult,2200,11.547084
Normal Mult,2200,11.564410
Normal Mult,2200,11.531554
Normal Mult,2200,11.501678
Normal Mult,2200,11.490002
Normal Mult,2200,11.479684
Normal Mult,2200,12.277093
Normal Mult,2200,12.531012
Normal Mult,2200,11.679585
Normal Mult,2200,11.531180
Normal Mult,2200,11.464280
Normal Mult,2200,11.475738
Normal Mult,2200,11.461564
Normal Mult,2200,11.431463
Normal Mult,2200,11.419292
Normal Mult,2200,11.455275
